-46.0	-69.0	28.0	lIPL
-50	-56	31	lAG
-64.0	-44.0	-4.0	lMTGp
-47.0	-24.0	-17.0	lMTGm
-40.0	-12.0	-30.0	lITGm 
-8.0	-57.0	17.0	pCC 
-20.0	36.0	44.0	lSFG
-53.0	27.0	-4.0	LlOFGinf
54.0	-59.0	30.0	rIPL
43.0	-72.0	31.0	rmPC
-1.0	51.0	-7.0	lOFCmed
-5.0	56.0	24.0	lSFGmed
-31.0	-34.0	-16.0	lFG 
-8.0	29.0	-10.0	lOFCmed/sCC 
-46.0	25.0	23.0	lIFG
64.0	-41.0	-2.0	rMTGp
-43.0	-53.0	55.0	lIPL
-1.0	-18.0	40.0	pMCC/PCC
-2.0	-56.0	46.0	lPCu
51.0	20.0	26.0	rIFG 
64.0	-38.0	32.0	rSMG
-23.0	26.0	-16.0	LlmOFCinf
-5.0	-39.0	40.0	lPCC
