4.0	47.0	7.0	medPFC/pACC
42.0	25.0	3.0	rIFG
-42.0	25.0	3.0	lIFG
48.0	17.0	29.0	rMFG/IFJ
-42.0	13.0	27.0	lMFG/IFJ
-2.0	8.0	59.0	SMedGy
20.0	-4.0	-15.0	rAm
-20.0	-6.0	-15.0	lAm
-20.0	-33.0	-4.0	lPHG
14.0	-33.0	-7.0	rPHG
53.0	-50.0	4.0	rMTG
38.0	-55.0	-20.0	rFFG/FG3
-40.0	-55.0	-22.0	lFFG/FG3
38.0	-76.0	-16.0	rpFFG/v4Cb
-40.0	-78.0	-21.0	lpFFG/v4/Cb
-4.0	52.0	31.0	medPFC
36.0	25.0	-3.0	rOFC/Ins
-38.0	25.0	-8.0	lOFC/Ins
2.0	19.0	25.0	rACC/aMCC
0.0	-15.0	10.0	Th
-2.0	-31.0	-7.0	Pulv
-28.0	-70.0	-14.0	lFFG/FG1
46.0	-68.0	-4.0	rOcC/ITG
-48.0	-72.0	-4.0	lOcC/ITG
